"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
3700,47.00000000000001,23.2,79.5,40,3.2,29.8,0,8.8,40,29.5,20.5,39.9,20.1,0,0,0,24.1,0,0.30000000000000004,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.7,0,1.9000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,2.9999999999999996,0,26.8,0.7999999999999999,0,10,0,5.6,0,20.2,0,10,0,0,0,0,0,4.5,0
3800,46.599999999999994,23.4,79.5,40,3.4000000000000004,29.5,0,9.2,40,29.5,20.5,39.9,20.4,0,0,0,24.1,0,0,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.3,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,3.4000000000000004,0,26.6,0.3,0,10,0,5.9,0,20.5,0,10,0,0,0,0,0,4.199999999999999,0
3900,46.3,23.099999999999998,79.4,40,3.1000000000000005,29.5,0,9,40,29.4,20.6,39.9,20.4,0,0,0,24.599999999999998,0,0.10000000000000002,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.39999999999999997,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,3.6999999999999997,0,26.900000000000002,0.7,0,10,0,5.7,0,20.5,0,10,0,0,0,0,0,4.4,0
4000,47.3,23.4,79.4,40,3.4000000000000004,29.4,0,9.2,40,29.4,20.6,39.9,20.5,0,0,0,23.4,0,0,0,0.10000000000000002,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.09999999999999999,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,2.6999999999999997,0,26.6,0.7,0,10,0,5.300000000000001,0,20.6,0,10,0,0,0,0,0,4.800000000000001,0
4100,46.8,23,79.3,40,3,29.299999999999997,0,8.999999999999998,40,29.2,20.700000000000003,39.9,20.6,0,0,0,24.099999999999998,0,0.10000000000000002,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.20000000000000004,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.700000000000003,0,0,0,0,0,3.2000000000000006,0,27,0.8999999999999999,0,10,0,5.4,0,20.700000000000003,0,10,0,0,0,0.10000000000000002,0,4.7,0
4200,46.900000000000006,22.799999999999997,78.8,40,2.8,28.8,0,8.2,40,28.700000000000003,21.2,39.9,21.099999999999998,0,0,0,24.8,0,0.09999999999999999,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,3.1,0,27.200000000000003,0.39999999999999997,0,10,0,5.6,0,21.2,0,10,0,0,0,0.09999999999999999,0,4.499999999999999,0
4300,46.5,22.6,78.5,40,2.6,28.5,0,7.6,40,28.4,21.5,39.9,21.4,0,0,0,25.8,0,0.09999999999999999,0,0.30000000000000004,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0,0,0,3.5,0,27.4,0.1,0,10,0,5.5,0,21.5,0,10,0,0,0,0.09999999999999999,0,4.599999999999999,0
4400,46.900000000000006,22.099999999999998,78.39999999999999,40,2.1,28.4,0,7.800000000000001,40,28.4,21.6,39.9,21.5,0,0.09999999999999999,0,25.3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0,0,0,0,0,3.1,0,27.900000000000002,1,0,10,0,5.4,0,21.6,0,10,0,0,0,0,0,4.7,0
4500,46.1,22.5,78.39999999999999,40,2.5,28.4,0,8,40,28.4,21.6,39.9,21.5,0,0,0,25.8,0,0,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.39999999999999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0,0,0,0,0,3.9,0,27.5,0.7000000000000001,0,10,0,5.3,0,21.6,0,10,0,0,0,0,0,4.8,0
4600,46.1,22.8,78.3,40,2.8,28.4,0,8.1,40,28.2,21.700000000000003,39.9,21.5,0,0,0,25.7,0,0.2,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.10000000000000002,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.700000000000003,0,0,0,0,0,3.9,0,27.2,0.6000000000000001,0,10,0,4.9,0,21.6,0,10,0,0,0,0.1,0,5.2,0
