,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
46,29958.720703125,22753.509765625,23521.703125,16337.228515625,7615.80859375,,-5057.2529296875,47533.3046875,33063.44140625,26109.1640625,22720.087890625,16325.265625,4299.341796875,,,,,,,,,,,11213.2548828125,,,,,,,7755.66796875,,,9007.13671875,,,,,,7491.142578125,,,,,,,6794.47314453125
47,29910.107421875,22665.826171875,23417.666015625,16323.7265625,7646.86767578125,,-5066.6103515625,47523.44140625,33477.5625,26086.08203125,22724.37890625,16305.591796875,4297.08544921875,,,,,,,,,,,11211.802734375,,,,,,,7792.25146484375,,,8974.7607421875,,,,,,7507.68359375,,,,,,,6822.20556640625
48,29842.591796875,22654.3515625,23382.615234375,16313.013671875,7629.04052734375,,-5041.6630859375,47454.18359375,33371.21875,26060.73828125,22675.294921875,16324.79296875,4348.9375,,,,,,,,,,,11263.8994140625,,,,,,,7794.3447265625,,,9003.1357421875,,,,,,7541.11181640625,,,,,,,6827.29052734375
49,29808.400390625,22629.078125,23342.18359375,16287.576171875,7644.466796875,,-5060.84521484375,47512.1953125,33407.03515625,26035.13671875,22657.42578125,16296.33984375,4359.00830078125,,,,,,,,,,,11320.1083984375,,,,,,,7879.724609375,,,9074.6640625,,,,,,7557.423828125,,,,,,,6894.73095703125
50,29746.361328125,22559.470703125,23285.3359375,16242.501953125,7650.93310546875,,-5063.5224609375,47409.82421875,33172.6875,25961.2890625,22528.22265625,16275.634765625,4410.5498046875,,,,,,,,,,,11323.0703125,,,,,,,7928.0322265625,,,9093.2353515625,,,,,,7573.501953125,,,,,,,6926.1201171875
51,29678.376953125,22511.078125,23224.30859375,16252.044921875,7687.310546875,,-5051.8701171875,47265.1953125,33226.41015625,25913.369140625,22566.10546875,16243.828125,4393.61962890625,,,,,,,,,,,11370.6083984375,,,,,,,7914.69091796875,,,9128.380859375,,,,,,7611.8349609375,,,,,,,6946.447265625
52,29623.44921875,22509.890625,23100.58984375,16194.8720703125,7697.80859375,,-5051.06884765625,47234.7421875,33141.69140625,25885.142578125,22571.890625,16255.3212890625,4465.4326171875,,,,,,,,,,,11412.7255859375,,,,,,,7942.294921875,,,9155.158203125,,,,,,7657.96484375,,,,,,,6975.77685546875
53,29564.658203125,22432.890625,23023.81640625,16166.38671875,7721.037109375,,-5034.92822265625,47133.30859375,33185.7265625,25858.33203125,22517.990234375,16254.892578125,4492.29833984375,,,,,,,,,,,11459.650390625,,,,,,,7935.83447265625,,,9201.474609375,,,,,,7688.34619140625,,,,,,,7010.86376953125
54,29530.19921875,22418.7578125,22982.859375,16145.896484375,7752.634765625,,-5034.83203125,47070.3203125,33047.16796875,25837.4921875,22455.36328125,16241.876953125,4495.6982421875,,,,,,,,,,,11503.0791015625,,,,,,,7911.43994140625,,,9214.283203125,,,,,,7744.34521484375,,,,,,,7043.51171875
55,29421.40234375,22355.0546875,22928.931640625,16117.140625,7771.68310546875,,-5031.49267578125,47019.91796875,33014.640625,25757.62890625,22390.94140625,16236.740234375,4508.0244140625,,,,,,,,,,,11546.2158203125,,,,,,,7962.83740234375,,,9257.951171875,,,,,,7755.8701171875,,,,,,,7082.1962890625
56,29370.26171875,22287.7890625,22850.734375,16074.1865234375,7767.21826171875,,-5028.5205078125,46917.7890625,32942.55078125,25664.71875,22328.201171875,16235.037109375,4543.5361328125,,,,,,,,,,,11579.8984375,,,,,,,8079.3564453125,,,9275.8681640625,,,,,,7769.87255859375,,,,,,,7133.3662109375
57,29281.744140625,22255.26171875,22809.775390625,16054.3193359375,7797.0859375,,-5011.39111328125,46828.76953125,32914.94921875,25600.068359375,22262.4765625,16228.423828125,4546.91162109375,,,,,,,,,,,11615.1044921875,,,,,,,8027.8076171875,,,9331.3564453125,,,,,,7823.228515625,,,,,,,7135.1591796875
58,29215.04296875,22194.4921875,22680.380859375,16035.595703125,7794.30908203125,,-5017.72705078125,46717.3203125,32859.828125,25579.462890625,22295.07421875,16217.853515625,4582.830078125,,,,,,,,,,,11629.1044921875,,,,,,,8070.25146484375,,,9362.0322265625,,,,,,7805.11865234375,,,,,,,7160.34423828125
59,29147.798828125,22135.5390625,22602.74609375,15997.552734375,7805.3271484375,,-5003.1416015625,46594.2109375,32832.10546875,25519.716796875,22273.447265625,16204.5009765625,4613.46337890625,,,,,,,,,,,11673.79296875,,,,,,,8103.49462890625,,,9375.869140625,,,,,,7870.41259765625,,,,,,,7190.41552734375
60,29062.083984375,22105.072265625,22539.259765625,16003.9599609375,7823.1796875,,-5005.384765625,46457.171875,32236.31640625,25467.353515625,22221.841796875,16211.1484375,4636.7431640625,,,,,,,,,,,11702.28125,,,,,,,8154.419921875,,,9433.2978515625,,,,,,7877.3212890625,,,,,,,7238.83203125
